Cr-48,0.062702703,1.26,5.47
Cr-49,0.160810811,4.39,14.6
Cr-51,0.004810811,1.92,6.07
Cr-55,7.51351E-05,18.3,52.5
Cr-56,0.027567568,0.0331,0.576
Cs-121,0.182702703,4.78,16.6
Cs-121m,0.185405405,4.27,16.6
Cs-123,0.174864865,4.85,17.7
Cs-124,0.178108108,5.06,17.3
Cs-125,0.124594595,4.79,18.2
Cs-126,0.179459459,4.87,16.7
Cs-127,0.081351351,2.24,11.3
Cs-128,0.141621622,4.7,15.6
Cs-129,0.064324324,0.915,7.62
Cs-130m,0.026027027,0.0369,0.391
Cs-130,0.085945946,4.3,15.3
Cs-131,0.018351351,0.0262,0.0765
Cs-132,0.124324324,5.9,21.1
Cs-134,0.236756757,8.04,25.1
Cs-134m,0.009135135,0.0392,0.345
Cs-135m,0.240810811,9.82,29.2
Cs-136,0.313513514,10.1,33.8
Cs-137†,0.092702703,7.19,21.8
Cs-138m,0.065945946,7.32,39
Cs-138,0.316216216,14.9,48.3
Cs-139,0.038918919,17,51.8
Cs-140,0.228378378,14.6,50.1
Cu-57,0.175135135,5.4,17.6
Cu-59,0.218918919,6.08,22.3
Cu-60,0.535135135,12.1,44.6
Cu-61,0.126486486,5.2,17.4
Cu-62,0.156216216,4.98,15.3
Cu-64,0.028378378,5.11,16
Cu-66,0.014189189,12.9,37.9
Cu-67,0.015513514,0.544,1.76
Cu-69,0.077297297,11.4,35.8
Dy-148,0.114054054,6.08,20.3
Dy-149,0.233243243,11.1,40.6
Dy-150,0.045675676,2.48,9.06
Dy-151,0.202702703,8.84,35.7
Dy-152,0.046216216,0.792,3.16
Dy-153,0.135135135,5.36,31.3
Dy-155,0.101081081,5,31
Dy-157,0.057027027,1.41,5.78
Dy-159,0.011972973,0.066,0.213
Dy-165m,0.003108108,0.672,9.78
Dy-165,0.00427027,2.25,16.3
Dy-166,0.008513514,0.105,0.823
Dy-167,0.081891892,3.46,16.2
Dy-168,0.061351351,3.02,13.4
Er-154,0.024702703,0.0479,4.16
Er-156,0.017486486,0.0653,0.452
Er-159,0.143513514,7.57,31
Er-161,0.149189189,9.12,31.9
Er-163,0.009081081,0.0795,0.266
Er-165,0.008621622,0.0776,0.25
Er-167m,0.014216216,0.651,2.2
Er-171,0.056216216,1.42,5.99
Er-172,0.081081081,4.14,15.5
Er-173,0.122162162,5.25,27
Es-249,0.101351351,0.474,11.6
Es-250,0.354054054,0.259,16.4
Es-250m,0.119459459,3.5,29.2
Es-251,0.067837838,0.0101,0.209
Es-253,0.001854054,0.0073,0.0258
